users,organization,gratification,ocupation,engagement_start,engagement_end,application_end,publication_end,firstCheck,title,description,hideOrganizationLogo,createdAt,updatedAt,publishedAt,contact,fromAge,toAge,secondCheck
user,NULL,> 3.500/350/35€,normal,5/31/2014,5/31/2014,5/31/2014,6/12/2014,,Job without organization,<p>This job is created by a user who doesn't have an organization!</p>,1,5/13/2014 13:03,5/13/2014 13:03,,,20,35,1
userOrg,Die Badische Landesbühne,"> 85/8,50€",teaching activity,5/28/2014,5/28/2014,5/28/2014,5/28/2014,,Job with organization.User belongs to Die Badische. username :userOrg,<p>First job for die badische organization.</p>,0,5/13/2014 13:13,5/13/2014 13:13,5/13/2014 13:13,,45,78,0
userOrg,Die Badische Landesbühne,"> 1.765/175/17,50€","competitions, opportunities",5/28/2014,5/28/2014,5/28/2014,6/12/2014,,Second job with organization.User belongs to Die Badische. username :userOrg,<p>First job for die badische organization.</p>,1,5/13/2014 13:16,5/13/2014 13:16,5/13/2014 13:16,,20,46,1
userOrg,Staatsoperette Dresden,"> 1.765/175/17,50€","competitions, opportunities",5/28/2014,5/28/2014,5/28/2014,6/12/2014,,First job with another organization.User belongs to Staatsoperette Dresden. username :userOrg,<p>First job for Staatsoperette Dresden organization.</p>,1,5/13/2014 13:16,5/13/2014 13:16,5/13/2014 13:16,,30,50,1
userOrg2,Die Badische Landesbühne,"> 85/8,50€",normal,5/27/2014,5/28/2014,5/27/2014,5/27/2014,,First job for die badische by userOrga2,<p>First job for die badische by userOrga2</p>,0,5/13/2014 13:31,5/13/2014 13:31,5/13/2014 13:31,,45,50,1
userOrg2,Die Badische Landesbühne,"> 85/8,50€",teaching activity,5/27/2014,5/28/2014,5/27/2014,6/12/2014,,Second job for die badische by userOrga2,<p>Second job for die badische by userOrga2</p>,0,5/13/2014 13:33,5/13/2014 13:33,5/13/2014 13:33,,23,30,0
userOrgOther,Theater Plauen-Zwickau,"> 85/8,50€","lab, trainees, voluntary service",6/24/2014,6/26/2014,5/25/2014,6/24/2014,,First job for organization Theater Plauen by userOrgaOther,<p>First job for organization Theater Plauen by userOrgaOther</p>,0,5/13/2014 13:39,5/13/2014 13:39,5/13/2014 13:39,,25,35,0
userOrgOther,Theater Plauen-Zwickau,"> 85/8,50€",education,6/24/2014,6/26/2014,5/25/2014,6/12/2014,,Second job for organization Theater Plauen by userOrgaOther,<p>Second job for organization Theater Plauen by userOrgaOther</p>,0,5/13/2014 13:40,5/13/2014 13:40,5/13/2014 13:40,,30,35,1
renate@theaterjobs.de,Die Badische Landesbühne,"> 1.765/175/17,50€",normal,2015-07-31,2015-08-30,2015-07-30,2015-07-30,,TÄNZER/IN MIT AKROBATISCHEN/ARTISTISCHEN SKILLS BZW. AKROBAT/IN MIT TANZ,"<div>Unsere neue Tanztheaterproduktion ""Cirque de la Famille"" (AT) arbeitet mit einer Mischung aus tänzerischen und akrobatisch artistischen Stilmitteln. Für unser vier-köpfiges Kern-Ensembles suchen wir noch weitere zwei Bühnenprofis, davon mindestens einen männlichen Darsteller. Das Ensemble wird mit weiteren acht talentierten Komparsen ergänzt.</div><div>Probenzeitraum: ab 19.November 2015 in einzelnen mehrtägigen Probenblöcken</div><div>Probenzeit insgesamt: +/- 30 Probentage</div><div>Premiere: 21. April 2016 in der Tafelhalle Nürnberg</div><div><br></div><div>Juni/Juli WA beim St Katharinen Opren Air in Nürnberg</div><div><br></div><div>Vergütung: Probenpauschale, Vorstellungen werden extra vergütet</div><div><br></div><div>Werkvertrag für freischaffenden, selbständigen künstlerischen Mitarbeiter</div><div>Bewerbungen mit CV, Bild und/oder Videolink, falls vorhanden, bitte an info@setanztheater.de</div><div>Auditiontermin nach Einladung und Absprache</div><div><br></div><div>Noch Fragen? --&gt; info@setanztheater.de oder Tel.: 0177-2769046</div>",0,2015-07-03 15:19:25,2015-07-03 15:19:25,2015-07-03 15:19:25,dasdsdsaddsadsadasd,27,35,0
renate@theaterjobs.de,Die Badische Landesbühne,> 2.500/250/25€,normal,2015-07-28,2015-07-31,2015-07-27,2015-07-27,,CHORBASS,"<div>Das Mecklenburgische Staatstheater Schwerin sucht zum 21.09.2015 für seinen Opernchor unter der Leitung von Ulrich Barthel einen</div><div><br></div><div>1. Chorbass</div><div><br></div><div>Die Landeshauptstadt Schwerin ist eine sehr attraktive ehem. Residenzstadt mit historischem Stadtkern, die mit ihrem Umland eine hohe Lebensqualität bietet.&nbsp;</div><div><br></div><div>Das Mecklenburgische Staatstheater ist ein Mehrspartentheater. Der Opernchor wirkt mit in allen Gattungen des Musiktheaters (Oper, Operette und Musical) und ist regelmäßig auch in Konzerten und mit eigenen Projekten zu hören. Durch eine Zielvereinbarung der Stadt Schwerin mit dem Land Mecklenburg-Vorpommern ist die Strukturentwicklung des Hauses langfristig geregelt. Generalmusikdirektor ist Daniel Huppert, design. Generalintendant ab der Spielzeit 2016/2017 ist Lars Tietje.</div><div><br></div><div>Voraussetzungen: abgeschlossene Gesangsausbildung und akzentfreie Beherrschung der deutschen Sprache</div><div><br></div><div>Der Vertrag richtet sich nach NV Bühne (Chorgagenklasse 1b).</div><div><br></div><div>Bewerbungskosten können nicht übernommen werden.</div><div><br></div><div>Bewerbungen mit Lebenslauf und künstlerischem Werdegang sind bis zum 07.07.2015 zu richten an:</div><div><br></div><div><br></div><div>Mecklenburgisches Staatstheater Schwerin gGmbH</div><div>Chordirektion</div><div>Alter Garten 2</div><div>19055 Schwerin</div><div>E-Mail: chor@theater-schwerin.de</div>",0,2015-07-03 15:23:27,2015-07-03 15:23:27,2015-07-03 15:23:27,"SETanztheater
Saarburger Str. 3
90469 Nürnberg
Deutschland
Ansprechpartner/in:
Sebastian Eilers
Telefon:
01772769046
E-Mail:
info@setanztehater.de
Website:
www.setanztehater.de",41,45,1
