organization;creators;title;directors;premiere
Anhaltisches Theater Dessau;Anders Thomas Jensen / K.D. Schmidt;Adams Äpfel;Swentja Krumscheidt;2008
Anhaltisches Theater Dessau;Carlo Goldoni;Der Diener zweier Herren;Herbert Olschok;2007
Anhaltisches Theater Dessau;Dale Wasserman / Mitch Leigh;Der Mann von La Mancha;Wolfgang Kluge / Ana Christine Halfter;2009
Anhaltisches Theater Dessau;Dmitri Schostakowitsch;Lady Macbeth von Mzensk;Hinrich Horstkotte;2014
Anhaltisches Theater Dessau;Elfriede Jelinek;Winterreise;Frank de Buhr;2015
Anhaltisches Theater Dessau;Francis Veber;Die Nervensäge;Ralf Gregan;2007
Anhaltisches Theater Dessau;Franz Lehár;Der Zarewitsch;Saskia Kuhlmann;2007
Anhaltisches Theater Dessau;Friedrich Schiller;Kabale und Liebe;Swentja Krumscheidt;2009
Anhaltisches Theater Dessau;Friedrich von Flotow;Martha;Markus L. Frank / Patrick Guinand;2008
Anhaltisches Theater Dessau;Gaetano Donizetti;Sitten und Unsitten am Theater;Holger Potocki;2015
Anhaltisches Theater Dessau;Georges Bizet;Die Perlenfischer;Anthony Hermus;2013
Anhaltisches Theater Dessau;Giacomo Puccini;Turandot;Andrea Moses / Antony Hermus;2010
Anhaltisches Theater Dessau;Giuseppe Verdi;Il Trovatore;Rebekka Stanzel;2016
Anhaltisches Theater Dessau;Henrik Ibsen;Nora;André Bücker;2013
Anhaltisches Theater Dessau;Irina Powolozkaja;Die feuerrote Blume;Jörg Steinberg;2010
Anhaltisches Theater Dessau;Johanna Spyri;Heidi;Ana Christine Haffter / Wolfgang Kluge;2006
Anhaltisches Theater Dessau;Johann Strauss (Sohn) ;Die Fledermaus;Hinrich Horstkotte / Wolfgang Kluge;2010
Anhaltisches Theater Dessau;John Gay / Johann Christoph Pepusch;The Beggar’s Opera;André Bücker;2014
Anhaltisches Theater Dessau;Kurt Weill;Zaubernacht;Tomasz Kajdanski;2016
Anhaltisches Theater Dessau;Ludwig van Beethoven;Fidelio;Golo Berg / Johannes Felsenstein;2008
Anhaltisches Theater Dessau;Miloš Forman;Einer flog über das Kuckucksnest;Herbert Olschok;2009
Anhaltisches Theater Dessau;Modest Mussorgski;Boris Godunow;Golo Berg / Helmut Polixa;2007
Anhaltisches Theater Dessau;Peter Shaffer;Amadeus;Carl-Hermann Risse;2006
Anhaltisches Theater Dessau;Richard Heymann;Die Drei von der Tankstelle;Maria Linke;2010
Anhaltisches Theater Dessau;Richard Rodgers / Oscar Hammerstein;Der König und Ich;Ana Christine Haffter;2008
Anhaltisches Theater Dessau;Ruggero Leoncavallo;Der Bajazzo;André Bücker;2011
Anhaltisches Theater Dessau;"Stephan Kanyar";Casanova – Musical;Christian von Götz;2014
Anhaltisches Theater Dessau;Theodor Fontane;Effi Briest;Tatjana Rese;2008
Anhaltisches Theater Dessau;Tomasz Kajdanski;Die Nibelungen;Tomasz Kajdanski;2011
Anhaltisches Theater Dessau;Vincenzo Bellini;Norma;André Bücker / Daniel Carlberg;2013
